diffbaron10,diffbaron20,diffbaron30,diffcs10,diffcs20,diffcs30,diffdrag10,diffdrag20,diffdrag30,diffgpm10,diffgpm20,diffgpm30,diffinhib10,diffinhib20,diffinhib30,diffkill10,diffkill20,diffkill30,diffturret10,diffturret20,diffturret30,diffwardk10,diffwardk20,diffwardk30,diffwardp10,diffwardp20,diffwardp30,fb10l,fb20l,fb30l,gametimes,matchid,win
0,0,1,4.299999999999997,5.699999999999996,3.8000000000000007,0,2,1,199.5999999999999,336.9000000000001,1127.8000000000002,0,0,2,2,-1,9,0,1,5,0,1,2,-4,2,1,-1,-1,-1,1873.0,1364966345,True
0,0,1,2.3000000000000043,1.2000000000000028,-0.1999999999999993,1,1,-2,-75.50000000000023,-279.10000000000036,-157.70000000000027,0,0,0,-3,-5,-5,-1,-3,2,2,-2,2,-4,-14,-27,-1,-1,-1,2062.0,1365000117,False
0,0,-1,4.5,-4.4999999999999964,4.109589041095891,0,1,-1,223.60000000000014,-474.9999999999998,-1263.0136986301372,0,0,-2,3,-4,-6,1,-3,-4,0,2,1,3,-8,-1,1,1,1,1638.0,1365001477,False
0,0,-1,-2.9000000000000057,-9.099999999999998,-0.7377049180327866,0,-1,-1,-274.60000000000025,-765.8,-892.2540983606555,0,0,-2,-6,-10,-5,0,-3,-4,0,1,-1,0,-10,4,-1,-1,-1,1688.0,1365005581,False
0,0,0,2.399999999999995,11.83811129848229,0.0,0,0,0,126.00000000000023,1076.4586846543,0.0,0,1,0,3,10,0,0,5,0,0,-1,0,-6,-11,0,-1,-1,-1,1193.0,1365190124,True
0,0,-1,-2.1999999999999993,-1.7000000000000028,-1.4432989690721634,0,1,0,6.899999999999864,305.5,-920.9278350515465,0,0,-1,1,5,-8,0,1,-5,1,6,4,-3,-13,-17,-1,-1,-1,1782.0,1365198605,False
0,0,-1,-7.399999999999999,-7.0,0.5347593582887704,0,-2,0,-320.1999999999998,-788.0000000000002,-1112.4064171123,0,0,-3,-5,-7,-14,-1,-5,-4,-1,-2,-5,1,-11,-1,-1,-1,-1,1761.0,1365203523,False
0,0,1,2.099999999999998,7.099999999999998,14.7,0,1,1,183.60000000000014,608.5999999999999,2023.1000000000004,0,0,4,4,9,21,0,1,8,0,2,1,3,11,14,1,1,1,1889.0,1365209089,True
0,0,1,-3.6000000000000014,2.3999999999999986,-7.938461538461537,0,1,0,69.80000000000018,1016.4000000000005,1155.3230769230768,0,1,2,5,17,9,0,6,3,-2,0,-3,2,21,10,-1,-1,-1,1525.0,1365218072,True
0,0,0,1.2999999999999972,0.5999999999999943,0.0,0,-2,0,-29.59999999999991,-470.3000000000002,-871.5789473684199,0,0,0,-2,-7,-2,0,0,0,0,-1,-1,0,2,-1,1,1,1,1257.0,1365285451,False
0,0,-1,0.0,-0.10000000000000142,1.7999999999999972,0,0,-1,-122.99999999999977,-207.99999999999977,-631.7999999999997,0,0,-1,-2,-4,-5,0,0,-2,0,-6,0,5,11,9,1,1,1,1825.0,1365302794,False
0,0,0,-2.6999999999999993,-3.1999999999999993,-10.707070707070708,-1,-1,-1,-258.79999999999995,-766.5999999999995,-2310.70707070707,0,0,-3,-6,-12,-8,1,-2,-7,1,-1,0,-4,-6,-7,-1,-1,-1,1497.0,1365309714,False
0,0,1,0.7000000000000028,6.899999999999999,3.799999999999997,1,-1,-1,159.29999999999995,-49.99999999999977,704.8000000000002,0,0,2,3,-2,4,0,1,4,0,2,2,0,-3,0,-1,-1,-1,2012.0,1365312773,True
0,0,0,-0.5999999999999979,2.6999999999999993,9.127789046653145,0,1,2,83.5,756.4999999999998,1395.212981744422,0,0,1,0,8,13,0,3,2,1,-1,0,5,-5,-5,-1,-1,-1,1693.0,1365313183,True
0,0,0,-1.6999999999999993,1.4000000000000021,9.5,-1,1,1,-11.600000000000136,774.8999999999996,693.5000000000002,0,0,1,1,13,8,0,1,1,1,2,-3,-7,-3,-4,-1,-1,-1,1822.0,1365338247,True
0,0,1,1.1999999999999993,3.3000000000000007,-3.4999999999999964,0,-2,1,90.79999999999995,-89.69999999999982,475.8000000000004,0,0,0,1,-3,4,0,2,1,3,3,-3,-3,-4,1,-1,-1,-1,1992.0,1365394610,True
0,0,0,2.0,2.8000000000000043,0.0,0,2,0,97.39999999999998,604.4000000000005,2231.2499999999964,0,0,0,3,7,0,0,2,1,1,0,0,-4,-8,0,1,1,1,1216.0,1365408640,True
0,0,-1,-2.8000000000000007,-0.8000000000000007,-5.899999999999999,0,2,1,-103.09999999999991,162.10000000000036,-315.0999999999999,0,0,-1,-2,5,-2,0,-2,1,0,-2,1,-4,-4,-11,1,1,1,1814.0,1365427812,False
0,0,-1,-6.800000000000001,-4.199999999999999,-3.6000000000000014,0,1,1,-53.99999999999977,258.8000000000002,-386.0,0,0,1,2,4,-5,0,1,-1,-1,3,1,2,7,-1,1,1,1,2349.0,1365460378,True
0,0,-1,0.8000000000000007,3.8999999999999986,-11.217391304347828,0,2,0,48.40000000000009,396.99999999999955,-2611.304347826086,0,0,-1,-2,-2,-12,1,0,-3,2,1,-1,0,-2,-4,-1,-1,-1,1430.0,1365473036,False
0,0,1,-0.6999999999999993,4.300000000000001,1.4189189189189193,0,2,1,-42.80000000000018,556.6000000000004,1099.0540540540537,0,0,0,-1,6,4,0,3,0,0,1,-1,-11,-3,-5,-1,-1,-1,1496.0,1365483205,True
