diffbaron,diffcc,diffcs,diffdmg,diffdrag,diffgold,diffkda,diffrange,diffspree,difftank,difftp,fbaron,fblood,fdrag,finhib,fturret,win
1,819,155,17067,3,17703,18.144444444444446,-1,5,0,1,True,False,True,True,False,True
1,-685,24,-23447,0,-11396,-20.117207792207793,1,-7,1,-1,True,False,True,False,False,False
-1,658,16,-5988,0,-11734,-21.416666666666668,1,-3,1,2,False,True,True,False,True,False
-1,-339,-127,-9102,-2,-17661,-17.531349206349205,1,-6,0,0,False,False,False,False,False,False
0,756,162,12505,0,11899,26.05952380952381,0,3,3,0,False,False,False,True,True,True
-1,-121,-53,-7170,1,-5809,-2.3833333333333346,0,-2,0,1,False,False,True,False,False,False
-1,-165,-155,-24682,-2,-21483,-27.86080586080586,1,-9,-1,0,False,False,False,False,False,False
1,746,235,53574,2,28151,65.0047619047619,-1,8,-1,1,True,True,True,True,False,True
1,-1722,-51,28894,1,17120,46.81666666666667,0,9,0,-1,True,False,True,True,True,True
0,-533,6,-4680,-2,-5827,-40.733333333333334,0,-2,-1,1,False,True,False,False,False,False
-1,431,13,-10590,-1,-11236,-12.541269841269841,-1,-5,-1,-1,False,True,True,False,True,False
0,-568,-129,-27816,-3,-21692,-52.95357142857143,-1,-6,2,1,False,False,False,False,True,False
1,804,123,28649,0,14492,19.976190476190474,0,2,0,-1,True,False,True,True,False,True
0,552,102,37146,3,19864,12.074242424242428,2,6,-1,-1,False,False,True,True,False,True
0,1040,107,10979,1,15551,43.76111111111111,-1,5,1,0,False,False,False,True,False,True
1,-751,2,-2180,-1,8419,7.708333333333336,0,2,-1,0,True,False,False,True,True,True
0,678,49,14715,2,7613,17.916666666666668,-1,3,0,1,False,True,True,False,False,True
-1,-418,-99,-1019,3,-3200,-1.5146464646464661,-3,1,1,0,False,True,True,False,False,False
0,643,-184,-22620,1,4629,5.2628205128205146,1,0,0,0,False,True,True,True,True,True
-1,-384,-16,-8261,2,-5556,-14.847222222222225,2,-4,-1,-1,False,False,True,False,True,False
1,562,63,27080,3,10560,19.48333333333333,3,3,1,-1,True,False,True,False,True,True
1,-288,-36,-22816,-2,-8546,-4.919083694083694,-1,2,-1,1,True,False,False,False,True,True
0,88,-97,-1442,0,-8514,-14.5,1,-1,2,0,False,False,False,False,False,False
0,172,17,26588,3,14390,16.888553113553115,-1,2,0,-1,False,True,True,True,True,True
1,-237,37,6270,-2,8928,15.88214285714286,1,2,-1,0,True,False,False,True,True,True
-1,-558,7,-29410,-3,-12893,-54.666666666666664,1,-4,0,-1,False,False,False,False,True,False
0,335,40,-23575,-1,-10978,-18.254761904761907,-1,-1,0,-1,False,True,False,False,True,False
-1,-1569,-38,-14103,1,-11357,-45.3468253968254,-1,-2,0,-1,False,False,True,False,True,False
0,-382,85,6699,3,18424,35.62500000000001,-1,4,0,1,False,True,True,True,False,True
0,-177,-181,-26890,-1,-17087,-27.58333333333333,0,-6,-1,1,False,False,False,False,False,False
0,-1083,19,-18014,0,4608,-3.6296536796536802,1,-2,-1,0,True,True,False,False,False,True
0,-119,68,9767,1,8865,30.199999999999996,0,3,-1,-1,False,True,True,False,False,True
-2,998,-114,-26728,-3,-18495,-18.814285714285713,0,-1,0,1,False,False,False,False,False,False
1,-1249,10,42979,2,21585,33.910131535131534,0,8,-1,0,True,True,True,True,True,True
0,718,-167,-25309,-3,-13804,-20.0,-2,-3,1,0,False,False,False,False,False,False
0,369,155,26160,1,14557,31.13333333333334,1,2,-1,1,False,True,True,False,True,True
1,1500,125,19017,3,16476,17.683333333333337,0,3,0,1,True,True,True,True,False,True
1,599,138,10400,-1,12567,22.971428571428575,1,3,-1,-1,True,True,False,True,False,True
-1,-1762,-207,-33446,1,-19172,-19.041666666666668,2,-4,-1,0,False,True,False,False,True,False
-1,-2745,14,10778,0,4835,1.5,0,1,0,-1,False,False,False,True,True,True
0,-833,-84,-4270,1,-1621,-5.320837495837498,3,-2,-1,1,False,False,True,True,False,True
1,1783,172,10537,4,17600,11.559343434343436,1,0,-1,1,True,False,True,True,True,True
1,-672,193,29900,3,16670,22.34126984126984,1,2,0,-2,True,True,True,True,True,True
1,-994,64,16817,2,12030,17.754761904761903,1,5,-1,-1,True,True,True,True,True,True
0,1671,172,38193,1,18837,20.96111111111111,0,5,0,0,False,True,False,True,True,True
1,135,-122,-14235,2,1440,-0.49491341991341997,1,-3,0,-1,True,True,True,True,False,True
1,-161,122,4041,0,10501,10.716269841269844,-1,11,0,1,True,True,False,True,False,True
3,1523,10,-48513,0,12923,18.782142857142862,-2,1,1,-1,True,True,False,True,True,True
-1,-979,-67,-26939,-3,-11868,-15.839285714285719,-1,-7,1,2,False,True,False,False,False,False
0,645,53,9591,-1,463,-16.116666666666667,1,0,-1,0,False,False,False,False,False,False
0,152,121,16730,-1,8851,15.19047619047619,0,2,1,0,False,False,False,True,True,True
0,143,50,12242,2,6725,10.291666666666668,1,4,1,0,False,False,True,False,False,True
0,297,-9,-11393,-2,-12600,-41.81666666666667,0,-3,0,-1,False,False,False,False,False,False
0,-797,-78,-25019,-1,-9086,-8.825000000000001,0,-1,0,0,False,False,True,False,True,False
1,1469,189,29529,0,18368,22.843650793650795,0,4,1,2,True,False,False,True,True,True
-1,51,-126,-27123,-1,-10860,-1.9295454545454565,0,-5,1,1,False,True,False,False,True,False
-1,-1314,-108,4837,1,-12251,-22.232142857142854,3,-1,-1,-1,False,False,True,False,False,False
0,-500,-74,-20458,-4,-10395,-8.207936507936509,0,-2,0,0,True,False,False,False,False,False
0,-353,144,3483,0,10997,2.5238095238095237,-1,3,0,0,False,False,True,True,True,True
0,-2085,-24,-19296,-1,-15969,-44.16666666666667,1,-6,-1,0,False,False,False,False,False,False
2,-1100,-158,32673,2,10956,10.78733766233766,1,5,-1,1,True,False,True,True,False,True
-1,-2218,-210,-5714,-4,-12002,-3.048901098901098,1,-3,-1,0,False,False,False,False,False,False
0,-381,36,340,2,7111,10.549999999999999,-3,2,0,1,False,False,True,False,True,True
0,560,1,-1872,1,6211,7.416666666666668,2,3,0,-1,False,True,False,True,False,True
-1,142,-132,-24339,-2,-16843,-35.020454545454555,1,-4,-1,1,False,False,False,False,False,False
0,687,42,23357,1,11614,50.38333333333333,2,2,0,-1,False,False,True,False,False,True
1,681,85,15041,0,13042,7.41666666666667,1,-1,-1,0,True,True,False,True,True,True
1,515,19,4014,1,11829,14.041666666666666,0,4,-1,0,True,True,True,True,True,True
0,-281,-127,-13548,-2,-17013,-24.794444444444444,0,-5,0,1,False,False,False,False,False,False
1,-184,137,-652,2,15371,23.10238095238095,0,6,-1,1,True,False,True,True,True,True
1,-697,-2,-8559,-2,5522,11.4234126984127,-2,2,0,0,True,True,False,True,False,True
0,1750,-182,-37508,-3,-18125,-11.275252525252526,-1,-7,1,0,True,False,False,False,True,False
0,205,54,13477,2,8646,12.25,1,4,1,0,False,False,True,False,True,True
-1,1010,-115,-24681,-1,-11720,-21.166666666666664,-1,-6,0,0,False,True,False,False,True,False
1,2291,-37,16535,3,14566,12.333333333333336,-1,6,0,-1,True,False,True,True,True,True
1,556,-6,-13259,0,-1118,-3.019047619047619,-1,3,0,0,True,False,False,True,True,True
0,-400,-210,-3304,-1,-14475,-6.833333333333333,-2,-1,1,1,False,False,False,False,False,False
1,-57,23,3402,-3,3009,5.808333333333332,2,0,0,-2,True,True,False,True,False,True
0,267,125,25958,1,16883,19.197619047619042,0,6,1,-2,False,True,True,True,True,True
2,-190,-106,-966,2,7327,10.15,0,2,0,0,True,False,True,False,False,True
0,110,36,14326,1,13423,36.333333333333336,0,3,1,0,False,True,True,True,True,True
0,1191,41,36889,-1,14202,33.90476190476191,3,2,0,-1,False,False,False,True,True,True
-1,-201,-171,-17255,-3,-22184,-28.26386946386946,0,-6,1,0,False,True,False,False,True,False
0,438,65,15161,2,12486,19.419047619047618,0,6,0,0,False,True,True,True,False,True
-1,540,-40,-11815,0,-10181,-24.07738095238095,0,-1,0,0,False,False,False,False,True,False
1,-826,51,9866,-1,10410,28.613636363636363,0,3,-1,-1,True,True,False,False,True,True
1,176,50,21500,2,10878,36.516666666666666,-1,5,2,0,True,True,True,False,False,True
1,1620,135,36329,1,14527,6.9906565656565665,2,5,0,0,True,True,False,True,True,True
0,1047,274,29041,3,18672,30.019047619047623,0,2,0,-1,False,False,True,True,True,True
-1,-814,-72,-30741,2,-13567,-32.19047619047619,-1,-7,1,1,False,True,True,False,True,False
0,-54,109,10928,2,16412,27.86666666666667,-1,3,-1,0,False,True,True,True,True,True
1,-581,97,-966,2,11523,2.1904761904761916,-1,2,0,1,True,False,True,True,False,True
1,2257,96,22506,2,12455,18.91125541125541,-1,7,0,0,True,False,False,False,True,True
-1,-239,-59,6082,-2,-12927,-4.213492063492065,0,-1,0,0,False,False,True,False,False,False
-2,-2201,-115,-19039,-2,-16220,-21.070238095238096,-1,-6,0,-1,False,False,True,False,True,False
0,-40,82,11295,2,13304,20.05952380952381,1,4,0,1,False,True,True,True,True,True
0,748,75,7244,3,15174,25.903571428571425,-1,0,0,0,False,True,True,True,True,True
1,176,-16,-35768,-1,-12008,-36.11944444444444,-1,-4,0,2,True,False,False,False,False,False
-1,331,202,-3616,0,-7234,-39.86666666666667,-1,-3,1,1,False,True,True,False,False,False
0,-7,175,25072,1,18904,66.92380952380952,0,3,0,1,False,True,True,True,True,True
1,1007,-130,-1591,1,12668,23.76230158730159,0,4,-1,1,True,True,True,True,False,True
1,-1179,-20,20307,2,16728,18.83730158730159,2,5,0,1,True,True,True,True,True,True
0,-759,97,7203,0,12089,27.06666666666667,2,3,-1,0,False,True,False,True,True,True
-1,-1988,33,-26610,0,-12059,-21.75,0,-4,0,0,False,True,True,False,False,False
-2,210,-163,-16820,-1,-19608,-51.53571428571429,0,-3,2,0,False,False,True,False,False,False
0,-475,-85,8030,0,3868,11.3,0,0,-1,1,False,False,False,False,True,True
0,255,-130,-14131,-2,-8895,-18.583333333333332,1,-3,-1,0,False,False,False,False,False,False
-2,1109,-5,-4182,-2,-14276,-19.128499278499277,1,-3,1,0,False,True,True,True,True,False
1,-494,-67,-27074,-3,-13103,-46.56785714285714,0,-3,0,0,True,True,False,False,True,False
-1,-462,-14,-17752,-2,-12945,-46.8,-1,-5,0,0,False,False,False,False,False,False
1,679,69,18434,-3,14127,39.27619047619047,0,3,-1,0,True,False,False,True,True,True
1,1650,261,51070,1,22221,15.086002886002886,-1,6,0,-1,True,True,False,True,True,True
-1,-408,-211,-52190,-4,-21281,-10.726190476190478,0,-6,1,0,False,False,False,False,False,False
0,1047,10,9999,2,13375,10.098809523809521,-2,1,0,1,False,True,True,True,True,True
-1,-276,-56,-11399,-3,-12536,-23.38690476190476,-1,-5,1,0,False,True,False,False,True,False
0,-1722,167,25461,0,10422,12.956746031746032,1,1,0,-1,False,True,True,True,True,True
1,268,-68,29659,1,17364,54.028571428571425,2,5,-1,0,True,True,False,True,True,True
1,301,29,32783,3,16418,7.601648351648352,1,2,0,-1,True,True,True,True,True,True
0,-299,45,18913,1,8344,25.625,2,1,-1,0,False,False,True,False,False,True
1,-503,-23,12328,2,4252,2.727777777777776,-2,0,1,-1,True,True,True,False,False,True
-1,408,16,-41812,-3,-16399,-15.083333333333336,-1,-2,1,0,False,False,False,False,False,False
-1,-516,120,-1802,-1,-1032,-5.281565656565656,1,-1,0,1,False,False,False,True,False,True
-1,568,53,-12245,-1,-8079,-24.93333333333333,0,-2,1,-1,False,False,False,False,True,False
0,-313,70,12528,2,7502,15.766666666666666,1,3,-2,1,False,False,True,False,False,True
-1,-753,-151,-40980,-1,-18530,-31.819047619047623,1,-7,0,0,False,False,False,False,False,False
0,-853,32,14874,2,9107,18.476190476190478,1,4,-1,0,False,False,True,False,False,True
-1,683,-9,-8273,-3,-15753,-17.35277777777778,1,-4,0,0,False,True,False,False,False,False
1,-698,126,33585,1,15728,24.4,0,4,-1,1,True,True,True,True,True,True
1,741,4,35804,2,12053,7.776190476190475,-1,3,1,0,True,False,False,True,True,True
0,-122,-71,-1128,-1,-10531,-2.204761904761904,0,0,-1,1,False,False,True,False,False,False
-2,-147,-59,-11576,-3,-15942,-12.40472027972028,-1,-1,0,-1,False,True,True,False,True,False
0,-1450,-68,-8971,-1,-11376,-30.983333333333334,0,-2,-1,1,False,False,False,False,False,False
2,-1649,-14,-7312,3,8729,1.9516594516594523,-1,2,-1,1,True,False,True,True,False,True
-1,599,-94,-7480,3,-6344,-8.89484126984127,0,-6,1,0,False,False,True,False,False,False
0,-909,31,9437,0,4736,5.502777777777778,-1,3,-1,0,False,False,False,True,False,True
1,1156,88,25003,3,21333,28.22380952380953,1,3,0,1,True,True,True,True,True,True
2,-1380,2,25066,1,13555,35.0,1,2,0,1,True,True,True,True,False,True
1,1467,25,33087,4,22193,23.126068376068375,-2,4,0,1,True,True,True,True,True,True
-2,22,152,-31050,-2,-12276,-37.36349206349207,0,-3,0,-1,False,True,False,False,False,False
-1,-282,0,1468,-2,-9417,-15.149999999999999,0,-4,-1,1,False,False,False,False,False,False
0,545,5,22569,1,8720,28.166666666666668,0,3,2,1,False,False,True,False,False,True
1,1259,90,36199,2,20146,37.56666666666666,0,5,1,-1,True,True,True,True,True,True
1,793,127,23619,2,21749,38.161616161616166,0,3,-1,0,True,True,True,True,True,True
0,-101,-49,-23661,-2,-12091,-30.1,0,-4,0,0,False,True,False,False,False,False
0,-233,-116,16611,-4,-4208,3.9444444444444464,1,2,-3,0,False,True,False,True,True,False
-1,-258,-68,-20493,-2,-14952,-27.180952380952384,-1,-4,1,0,False,False,False,False,False,False
-1,87,-13,4867,3,10350,14.071428571428571,1,2,-1,0,False,True,True,True,True,True
1,-857,6,18493,2,12036,8.921428571428569,0,6,0,0,True,True,False,True,False,True
0,-238,-273,-16036,2,-7098,-0.6400432900432911,1,-2,0,0,True,False,True,False,False,False
0,-370,134,15750,1,13676,30.86111111111111,1,5,-1,0,False,True,True,True,False,True
0,-23,3,-4753,-2,-14531,-46.96666666666667,-1,-4,1,0,False,False,False,False,False,False
0,1881,56,19650,2,12761,19.035714285714285,0,4,1,0,False,True,True,True,True,True
1,-4,96,3018,-3,14599,38.471428571428575,-1,5,1,1,True,True,False,True,True,True
-1,-719,-186,-10747,5,-2259,-16.569444444444443,0,0,2,1,False,True,True,True,False,False
